Age,DistanceFromHome,Education,EmployeeCount,Gender,JobLevel,MonthlyIncome,NumCompaniesWorked,Over18,PercentSalaryHike,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single
53,11,4,1,0,2,21480,3.0,0,11,8,0,21.0,2,5,1,3,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
29,16,4,1,1,1,65130,1.0,0,11,8,1,10.0,2,10,0,9,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
55,1,4,1,0,1,67990,3.0,0,11,8,0,12.0,2,10,0,8,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
26,9,3,1,0,1,162910,1.0,0,22,8,0,5.0,3,5,3,3,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
37,5,1,1,1,1,27050,1.0,0,11,8,0,17.0,2,17,5,7,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
44,1,2,1,1,2,103330,3.0,0,14,8,1,19.0,2,1,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
38,2,3,1,0,1,44480,9.0,0,12,8,0,10.0,3,2,1,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
26,4,3,1,1,3,68540,2.0,0,11,8,0,5.0,5,3,0,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
28,7,3,1,1,1,96370,1.0,0,13,8,0,5.0,6,5,0,2,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True
49,1,1,1,0,2,35910,9.0,0,13,8,0,22.0,2,3,1,2,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
36,5,3,1,1,3,54050,4.0,0,14,8,0,10.0,2,8,7,7,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True
31,9,4,1,1,1,46840,1.0,0,16,8,1,2.0,4,2,2,2,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
26,8,3,1,1,2,157870,1.0,0,12,8,2,8.0,5,8,7,4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
37,9,1,1,1,1,15140,1.0,0,14,8,0,4.0,3,4,1,2,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
42,2,2,1,1,3,29560,5.0,0,13,8,0,23.0,2,20,4,8,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
18,1,4,1,1,1,23350,1.0,0,14,8,2,0.0,3,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
35,20,2,1,1,1,51540,0.0,0,19,8,0,12.0,2,11,6,9,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
36,8,3,1,0,3,69620,4.0,0,12,8,2,4.0,2,1,0,0,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
51,2,3,1,1,2,56750,5.0,0,13,8,0,13.0,2,4,1,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
41,29,1,1,1,1,23790,1.0,0,12,8,0,22.0,6,22,0,4,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
18,7,3,1,1,1,38120,1.0,0,15,8,0,0.0,3,0,0,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
28,9,3,1,1,1,46480,0.0,0,23,8,2,9.0,2,8,0,7,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
31,8,1,1,1,1,29360,4.0,0,12,8,1,10.0,2,8,7,7,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False
39,5,4,1,0,2,21050,0.0,0,20,8,0,19.0,3,18,3,7,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
36,5,4,1,1,1,85780,7.0,0,21,8,0,11.0,4,9,0,8,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
32,2,3,1,1,2,27060,1.0,0,21,8,1,13.0,4,13,4,8,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
38,5,2,1,0,3,63840,3.0,0,19,8,2,19.0,4,10,0,1,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
58,2,3,1,1,2,39680,2.0,0,13,8,2,12.0,3,5,1,2,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
31,20,1,1,0,3,99070,0.0,0,13,8,1,6.0,3,5,0,3,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
31,7,4,1,1,2,132250,3.0,0,21,8,1,9.0,2,2,1,0,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
45,3,1,1,0,1,35400,1.0,0,13,8,0,24.0,6,24,9,11,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False
31,16,4,1,0,2,28040,0.0,0,19,8,2,3.0,0,2,2,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
33,9,3,1,1,4,193920,6.0,0,12,8,1,12.0,3,10,8,8,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
39,1,4,1,1,1,196650,1.0,0,22,8,1,21.0,6,21,11,10,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
43,7,4,1,1,4,24390,0.0,0,15,8,0,9.0,2,8,1,7,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
49,1,3,1,1,3,73140,7.0,0,22,8,0,25.0,2,7,0,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
52,7,1,1,0,2,47740,2.0,0,18,8,1,11.0,2,8,7,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
27,15,4,1,1,3,39020,1.0,0,22,8,0,4.0,2,4,1,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
32,1,3,1,1,3,26620,1.0,0,11,8,1,13.0,6,13,11,9,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
27,13,2,1,0,4,28560,1.0,0,12,8,2,5.0,5,5,0,4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
31,24,3,1,1,2,10810,4.0,0,11,8,3,13.0,4,7,1,7,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
32,7,3,1,1,2,24720,7.0,0,13,8,0,10.0,2,7,0,7,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True
28,9,4,1,1,1,56730,5.0,0,14,8,1,5.0,4,3,2,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
30,13,3,1,0,4,41970,1.0,0,13,8,0,11.0,3,10,1,9,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
31,2,1,1,0,1,97130,1.0,0,17,8,0,10.0,5,10,8,9,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
39,19,4,1,0,1,20620,1.0,0,13,8,0,21.0,4,21,13,3,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
39,1,1,1,0,1,42840,4.0,0,17,8,1,12.0,0,1,0,0,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
33,4,2,1,1,4,47880,3.0,0,11,8,1,9.0,0,7,0,1,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
47,4,3,1,0,2,59060,4.0,0,23,8,0,21.0,4,3,1,1,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
43,14,3,1,0,5,38860,1.0,0,17,8,2,9.0,2,9,0,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False
27,2,3,1,1,1,168230,0.0,0,17,8,0,6.0,3,5,1,4,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
54,1,4,1,1,2,29330,3.0,0,12,8,2,20.0,2,4,0,3,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
43,7,2,1,0,2,65000,8.0,0,23,8,0,10.0,3,1,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
45,3,1,1,0,1,171740,9.0,0,14,8,1,12.0,6,10,9,8,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
40,2,4,1,1,4,50330,2.0,0,14,8,2,6.0,6,4,0,2,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
29,29,3,1,0,1,23070,1.0,0,13,8,1,7.0,0,7,0,7,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
29,8,3,1,1,3,25870,0.0,0,22,8,2,4.0,3,3,2,2,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True
30,10,3,1,1,2,55070,1.0,0,12,8,2,10.0,2,10,1,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
27,11,2,1,1,1,43930,1.0,0,18,8,1,8.0,2,8,0,7,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
37,1,4,1,1,2,133480,7.0,0,14,8,0,8.0,4,6,0,4,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
38,28,4,1,1,1,65830,0.0,0,12,8,0,12.0,1,11,2,9,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
31,6,3,1,0,3,81030,1.0,0,15,8,1,11.0,5,11,4,10,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
29,3,4,1,1,3,39780,1.0,0,11,8,0,7.0,0,7,1,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
35,16,2,1,1,3,25440,0.0,0,13,8,1,17.0,3,16,0,13,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
23,20,4,1,1,1,53990,1.0,0,23,8,0,4.0,2,4,0,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
41,9,2,1,0,1,54870,6.0,0,19,8,2,8.0,0,5,1,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
47,1,3,1,0,2,68340,3.0,0,16,8,1,5.0,2,0,0,0,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
42,3,4,1,1,1,10910,2.0,0,22,8,0,16.0,0,1,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
29,22,4,1,1,2,57360,1.0,0,22,8,0,4.0,1,4,0,2,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
42,7,4,1,1,3,22260,0.0,0,12,8,1,4.0,3,3,1,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
32,2,3,1,1,2,57470,1.0,0,13,8,0,8.0,0,8,0,7,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
48,13,4,1,1,4,98540,3.0,0,16,8,1,15.0,2,0,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
37,8,5,1,1,2,54670,4.0,0,12,8,0,13.0,2,7,6,7,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
30,25,4,1,1,1,53800,7.0,0,21,8,1,4.0,0,2,2,2,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False
26,28,3,1,0,5,51510,1.0,0,15,8,3,8.0,3,8,7,7,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
42,2,2,1,0,1,21330,3.0,0,13,8,2,14.0,2,1,0,0,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
21,9,3,1,0,4,178750,1.0,0,12,8,0,3.0,5,3,1,2,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
36,28,3,1,1,2,24320,4.0,0,22,8,0,7.0,4,1,0,0,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
36,6,3,1,0,2,47710,4.0,0,13,8,1,16.0,2,13,1,12,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
57,21,4,1,1,5,191610,2.0,0,18,8,0,15.0,2,3,1,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
40,8,3,1,1,2,50870,3.0,0,14,8,1,10.0,3,7,1,7,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False
21,1,5,1,0,2,28630,1.0,0,14,8,0,3.0,2,3,2,2,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
33,28,2,1,0,5,55610,1.0,0,21,8,1,1.0,3,1,0,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
37,5,3,1,1,4,21440,6.0,0,19,8,0,17.0,3,5,0,3,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False
46,2,4,1,0,2,30650,2.0,0,11,8,0,7.0,3,1,0,0,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
41,16,1,1,0,1,28100,1.0,0,11,8,0,8.0,3,8,7,7,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True
50,9,3,1,0,3,98880,6.0,0,15,8,0,20.0,2,4,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
40,8,3,1,0,1,86280,2.0,0,20,8,0,8.0,2,6,1,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
31,1,3,1,1,4,28670,0.0,0,24,8,0,3.0,5,2,2,2,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
21,10,2,1,1,1,53730,1.0,0,12,8,1,1.0,2,1,0,0,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
29,1,3,1,0,2,66670,9.0,0,12,8,1,6.0,6,3,1,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
35,29,3,1,0,3,50030,9.0,0,15,8,0,10.0,2,1,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
28,2,2,1,1,3,28580,1.0,0,12,8,0,7.0,2,7,0,7,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
49,2,3,1,1,2,52040,8.0,0,14,8,1,26.0,3,5,0,0,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True
51,1,2,1,1,1,41050,4.0,0,22,8,1,18.0,2,7,0,7,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
36,15,2,1,1,1,96790,4.0,0,12,8,0,6.0,1,2,2,2,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
34,7,3,1,1,1,56170,8.0,0,25,8,1,9.0,3,5,0,4,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
55,26,3,1,1,1,104480,2.0,0,13,8,0,30.0,3,5,1,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True
24,1,3,1,0,5,28970,1.0,0,18,8,3,5.0,4,5,0,3,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False
30,3,3,1,0,2,59680,1.0,0,13,8,0,1.0,3,1,0,0,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
26,14,3,1,1,2,75100,0.0,0,18,8,3,7.0,3,6,0,4,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True
22,16,5,1,1,1,29910,1.0,0,19,8,2,2.0,3,2,1,2,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False
36,1,3,1,0,5,196360,1.0,0,12,8,1,10.0,3,10,9,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
30,3,2,1,1,3,11290,9.0,0,19,8,0,3.0,2,1,0,0,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
37,10,1,1,1,1,133410,1.0,0,14,8,1,18.0,3,18,12,17,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
40,6,2,1,1,3,43320,7.0,0,14,8,2,8.0,3,5,1,3,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False
42,2,3,1,0,4,110310,3.0,0,12,8,1,8.0,2,5,1,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
37,9,1,1,1,3,44400,2.0,0,11,8,1,18.0,3,1,0,1,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
43,10,2,1,0,1,46170,1.0,0,11,8,0,25.0,2,25,3,9,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False
40,6,2,1,0,1,26470,6.0,0,13,8,0,20.0,2,1,0,0,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
54,9,3,1,0,2,63230,4.0,0,23,8,1,24.0,2,4,1,2,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
34,28,3,1,1,1,56770,9.0,0,20,8,1,6.0,3,3,1,2,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
31,10,4,1,1,3,21870,1.0,0,15,8,1,13.0,2,13,3,12,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
43,27,4,1,1,2,39770,4.0,0,18,8,1,8.0,3,5,0,2,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False
25,7,2,1,1,1,86330,1.0,0,19,8,1,5.0,2,5,1,3,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
37,1,3,1,1,3,20080,3.0,0,22,8,0,15.0,5,13,10,7,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
31,24,1,1,1,3,44400,1.0,0,13,8,1,4.0,2,4,3,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
39,26,4,1,0,1,30670,1.0,0,20,8,1,21.0,5,21,1,6,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False
56,20,4,1,0,3,53210,9.0,0,14,8,0,36.0,1,7,7,7,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
30,5,4,1,0,2,54100,0.0,0,17,8,1,6.0,2,5,4,4,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
41,7,3,1,0,3,27820,1.0,0,14,8,0,10.0,2,10,0,7,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False
28,7,3,1,1,3,119570,1.0,0,13,8,0,10.0,2,10,1,8,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False
25,5,2,1,0,3,26600,5.0,0,13,8,0,6.0,3,2,0,2,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False
52,26,2,1,0,2,33750,2.0,0,21,8,0,28.0,2,5,0,4,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
45,2,3,1,0,1,50980,3.0,0,14,8,1,8.0,4,2,0,2,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False
52,12,3,1,1,2,48780,2.0,0,11,8,1,31.0,3,5,1,4,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False
42,10,3,1,0,2,28370,2.0,0,13,8,1,19.0,0,5,0,2,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False
30,25,3,1,1,1,24060,2.0,0,20,8,1,11.0,5,5,0,2,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
60,10,3,1,0,1,22690,5.0,0,18,8,1,33.0,4,29,11,10,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
